title,season_id,pub_real_date
JOESTAR RADIO,37740,1610899200
Candy☆Boy OVA,3771,1195660800
我的女神 OAD,3759,1298390400
校园迷糊大王 一学期补习,3752,1135180800
苍穹之法芙娜 RIGHT OF LEFT,3743,1135785600
青山刚昌短篇集,36724,1607875200
颠倒的帕特玛,3668,1383926400
奇蛋物语 / WONDER EGG PRIORITY,36209,1610380800
Ｄｒ．ＳＴＯＮＥ 石纪元  (第二季),36175,1610553600
工作细胞 第二季,36174,1610208000
五等分的新娘∬,36166,1610035200
记录的地平线 圆桌崩坏,36101,1610467200
Little Busters! EX,3571,1390924800
圣诞之吻SS OVA,3567,1307721600
丹特丽安的书架 OVA 荆姬,3521,1344614400
Anne Happy,3498,1459958400
TARI TARI OVA,3492,1341072000
HELLO!! 黄金拼图,3491,1428163200
春日望和安斋由香里的Do YU~NO~ the Radio,34676,1600963200
宇宙巡警露露子,3459,1459440000
甘城光辉游乐园 SP 激动人心小剧场,3455,1419523200
命运石之门 聪明睿智的认知计算,3448,1413302400
赤发白雪姬 OVA 不值一提的宝物、这一页,3447,1451923200
夏目友人帐 OVA,3446,1387036800
咒术回战,34430,1601654400
魔女之旅,34412,1601568000
我们仍未知道那天所看见的花的名字。 剧场版,3441,1377878400
在魔王城说晚安,34407,1601913600
我的青春恋爱物语果然有问题。 第一季 OVA,3437,1379520000
兽之奏者艾琳,3434,1231603200
史上最强弟子兼一,34297,1598284800
Charlotte SP,3429,1434816000
四月是你的谎言 OAD,3423,1431619200
野良神 ARAGOTO OAD,3420,1447689600
野良神 OAD,3419,1392220800
赛马娘四格,33806,1594051200
没落要塞 / DECA-DENCE,33803,1593273600
Re：从零开始的异世界生活 第二季 前半,33802,1594137600
她和她的猫,3375,1457020800
团团喵,33599,1514736000
声声相对论,33559,1590249600
名侦探柯南 第14个目标,33543,1590076800
名侦探柯南 世纪末的魔术师,33539,1590076800
佝偻猫 第一季,3350,1246723200
Free!-Road to the World-梦,33457,1562256000
