title,episodes,mark,score,is_finish,series_follow,follows,coins,likes,danmus,views,area,count,season_type,season_id,media_id,link
结城友奈是勇者 -鹫尾须美之章-,全3话,,9.7,1,1021216,142190,8652,6405,15698,1670374,日本,1612,1,6075,6075,https://www.bilibili.com/bangumi/play/ss6075?theme=movie
田中君总是如此慵懒 特典,全7话,,9.7,1,813016,533710,10827,31839,20491,7334923,日本,1331,1,6036,6036,https://www.bilibili.com/bangumi/play/ss6036
机动战士高达 雷霆宙域战线 第一季,全4话,,9.7,1,344476,248947,9507,20106,35151,6071929,日本,1741,1,6006,6006,https://www.bilibili.com/bangumi/play/ss6006
剑姬神圣谭 在地下城寻求邂逅是否搞错了什么 外传,全12话,会员专享,9.7,1,3083970,1952863,32538,46293,182860,11055843,日本,6497,1,5980,28228037,https://www.bilibili.com/bangumi/play/ss5980
路人女主的养成方法 ♭,全12话,独家,9.7,1,5127244,3711497,342073,354865,390747,30671773,日本,27405,1,5971,28228738,https://www.bilibili.com/bangumi/play/ss5971
越狱兔 第5季,全13话,,9.7,1,341946,76633,18536,61562,27787,12739894,日本,846,1,5872,5872,https://www.bilibili.com/bangumi/play/ss5872
越狱兔 第3季,全13话,,9.7,1,341946,64822,18536,61562,27787,12739894,日本,627,1,5870,5870,https://www.bilibili.com/bangumi/play/ss5870
越狱兔 第2季,全13话,,9.7,1,341946,69074,18536,61562,27787,12739894,日本,670,1,5869,5869,https://www.bilibili.com/bangumi/play/ss5869
妖狐×仆SS SP,全1话,,9.7,1,1757752,480026,17040,28364,81807,5420017,日本,2189,1,5859,5859,https://www.bilibili.com/bangumi/play/ss5859
小林家的龙女仆,全14话,独家,9.7,1,9659486,8031228,1104554,1184359,5763335,335034866,日本,66481,1,5800,5800,https://www.bilibili.com/bangumi/play/ss5800
One Room,全12话,独家,9.7,1,2710273,2124595,142248,289598,672167,41759505,日本,12018,1,5798,5798,https://www.bilibili.com/bangumi/play/ss5798
兽娘动物园,全12话,会员专享,9.7,1,493192,463259,29935,18027,274904,8879244,日本,9496,1,5796,5796,https://www.bilibili.com/bangumi/play/ss5796
小魔女学园 TV版,全25话,独家,9.7,1,1192515,1140833,153891,150043,866209,35242692,日本,19778,1,5788,5788,https://www.bilibili.com/bangumi/play/ss5788
精灵宝可梦 剧场版5：水都的守护神拉帝亚斯和拉帝欧斯,全1话,会员专享,9.7,1,616728,67512,2925,4353,14833,989247,日本,601,1,5755,5755,https://www.bilibili.com/bangumi/play/ss5755?theme=movie
